service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
64_1042_604,0,0,0,0,0,0,1,20260603,20260903
64_1042_606,1,1,0,0,0,0,0,20260603,20260903
67_995_561,1,1,1,1,0,0,0,20260603,20260903
67_995_562,0,0,0,0,1,0,0,20260603,20260903
67_995_603,0,0,0,0,0,1,0,20260603,20260903
67_995_604,0,0,0,0,0,0,1,20260603,20260903
70_1058_561,1,1,1,1,0,0,0,20260603,20260903
70_1058_562,0,0,0,0,1,0,0,20260603,20260903
70_1058_603,0,0,0,0,0,1,0,20260603,20260903
70_1058_604,0,0,0,0,0,0,1,20260603,20260903
71_1059_617,0,0,1,1,1,0,0,20260603,20260903
71_1059_608,0,0,0,0,0,1,0,20260603,20260903
71_1059_609,0,0,0,0,0,0,1,20260603,20260903
71_1059_616,1,1,0,0,0,0,0,20260603,20260903
72_970_601,1,1,1,1,0,0,0,20260603,20260903
72_970_602,0,0,0,0,1,0,0,20260603,20260903
72_970_603,0,0,0,0,0,1,0,20260603,20260903
72_970_609,0,0,0,0,0,0,1,20260603,20260903
73_962_601,1,1,1,1,0,0,0,20260603,20260903
73_962_602,0,0,0,0,1,0,0,20260603,20260903
73_963_603,0,0,0,0,0,1,0,20260603,20260903
73_963_604,0,0,0,0,0,0,1,20260603,20260903
79_996_601,1,1,1,1,1,0,0,20260603,20260903
79_996_603,0,0,0,0,0,1,0,20260603,20260903
79_996_604,0,0,0,0,0,0,1,20260603,20260903
80_651_601,1,1,1,1,1,0,0,20260603,20260903
80_651_603,0,0,0,0,0,1,0,20260603,20260903
80_651_604,0,0,0,0,0,0,1,20260603,20260903
81_1041_601,1,1,1,1,0,0,0,20260603,20260903
81_1041_602,0,0,0,0,1,0,0,20260603,20260903
81_1041_603,0,0,0,0,0,1,0,20260603,20260903
81_1041_604,0,0,0,0,0,0,1,20260603,20260903
89_993_606,1,1,1,1,0,0,0,20260603,20260903
89_993_607,0,0,0,0,1,0,0,20260603,20260903
89_993_603,0,0,0,0,0,1,0,20260603,20260903
89_993_604,0,0,0,0,0,0,1,20260603,20260903
90_185_601,1,1,1,1,0,0,0,20260603,20260903
90_185_602,0,0,0,0,1,0,0,20260603,20260903
90_185_603,0,0,0,0,0,1,0,20260603,20260903
90_185_604,0,0,0,0,0,0,1,20260603,20260903
92_1046_601,1,1,1,1,1,0,0,20260603,20260903
92_1046_603,0,0,0,0,0,1,0,20260603,20260903
92_1046_604,0,0,0,0,0,0,1,20260603,20260903
93_994_561,1,1,1,1,0,0,0,20260603,20260903
93_994_562,0,0,0,0,1,0,0,20260603,20260903
93_994_603,0,0,0,0,0,1,0,20260603,20260903
93_994_604,0,0,0,0,0,0,1,20260603,20260903
94_873_601,1,1,1,1,1,0,0,20260603,20260903
94_873_603,0,0,0,0,0,1,0,20260603,20260903
94_873_604,0,0,0,0,0,0,1,20260603,20260903
95_1047_601,1,1,1,1,1,0,0,20260603,20260903
95_1047_603,0,0,0,0,0,1,0,20260603,20260903
95_1047_604,0,0,0,0,0,0,1,20260603,20260903
